model,category,task,metric,value
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,language,plot_unscrambling,score,0.40466090613417977
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,language,typos,accuracy,0.44
command-a-03-2025,language,connections,accuracy,0.2333333333333333
command-a-03-2025,language,plot_unscrambling,score,0.34755302132139526
command-a-03-2025,language,typos,accuracy,0.52
command-r-03-2024,coding,LCB_generation,pass@1,0.20512820512820512
command-r-03-2024,coding,coding_completion,pass@1,0.1
command-r-03-2024,instruction_following,story_generation,combined_score,0.5769230769230769
command-r-03-2024,language,connections,accuracy,0.07833333333333332
command-r-03-2024,language,plot_unscrambling,score,0.14265712801249492
command-r-03-2024,language,typos,accuracy,0.22
command-r-08-2024,coding,LCB_generation,pass@1,0.21794871794871795
command-r-08-2024,coding,coding_completion,pass@1,0.14
command-r-08-2024,instruction_following,paraphrase,combined_score,0.6021666666666667
command-r-08-2024,instruction_following,story_generation,combined_score,0.6794871794871795
command-r-08-2024,language,connections,accuracy,0.12416666666666666
command-r-08-2024,language,plot_unscrambling,score,0.17959329292862514
command-r-08-2024,language,typos,accuracy,0.37
command-r-plus-04-2024,coding,LCB_generation,pass@1,0.28205128205128205
command-r-plus-04-2024,coding,coding_completion,pass@1,0.12
command-r-plus-04-2024,instruction_following,paraphrase,combined_score,0.55
command-r-plus-04-2024,instruction_following,story_generation,combined_score,0.8012820512820512
command-r-plus-04-2024,language,connections,accuracy,0.16
command-r-plus-04-2024,language,plot_unscrambling,score,0.2543194028129597
command-r-plus-04-2024,language,typos,accuracy,0.24
command-r-plus-08-2024,coding,LCB_generation,pass@1,0.26282051282051283
command-r-plus-08-2024,coding,coding_completion,pass@1,0.12
command-r-plus-08-2024,instruction_following,paraphrase,combined_score,0.5583333333333333
command-r-plus-08-2024,instruction_following,story_generation,combined_score,0.6794871794871795
command-r-plus-08-2024,language,connections,accuracy,0.21833333333333332
command-r-plus-08-2024,language,plot_unscrambling,score,0.23739433496429005
command-r-plus-08-2024,language,typos,accuracy,0.47
deepseek-chat,coding,LCB_generation,pass@1,0.421875
deepseek-chat,coding,coding_completion,pass@1,0.5
deepseek-chat,instruction_following,paraphrase,combined_score,0.5936666666666667
deepseek-chat,instruction_following,story_generation,combined_score,0.7628205128205128
deepseek-chat,language,connections,accuracy,0.2533333333333333
deepseek-chat,language,plot_unscrambling,score,0.3493465650851764
deepseek-chat,language,typos,accuracy,0.36
deepseek-coder,coding,LCB_generation,pass@1,0.41025641025641024
deepseek-coder,coding,coding_completion,pass@1,0.42
deepseek-coder,instruction_following,story_generation,combined_score,0.7580128205128205
deepseek-coder,language,connections,accuracy,0.2583333333333333
deepseek-coder,language,plot_unscrambling,score,0.3129855044447437
deepseek-coder,language,typos,accuracy,0.42
deepseek-r1,coding,LCB_generation,pass@1,0.8076923076923077
deepseek-r1,coding,coding_completion,pass@1,0.54
deepseek-r1,instruction_following,paraphrase,combined_score,0.8059999999999999
deepseek-r1,language,connections,accuracy,0.675
deepseek-r1,language,plot_unscrambling,score,0.40784076750924664
deepseek-r1,language,typos,accuracy,0.48
deepseek-r1-distill-llama-70b,coding,LCB_generation,pass@1,0.6923076923076923
deepseek-r1-distill-llama-70b,coding,coding_completion,pass@1,0.34
deepseek-r1-distill-llama-70b,instruction_following,paraphrase,combined_score,0.7021666666666667
deepseek-r1-distill-llama-70b,language,connections,accuracy,0.3516666666666666
deepseek-r1-distill-llama-70b,language,plot_unscrambling,score,0.2788533082064739
deepseek-r1-distill-llama-70b,language,typos,accuracy,0.28
deepseek-r1-distill-qwen-32b,coding,LCB_generation,pass@1,0.5897435897435898
deepseek-r1-distill-qwen-32b,coding,coding_completion,pass@1,0.1
deepseek-r1-distill-qwen-32b,instruction_following,paraphrase,combined_score,0.6961666666666666
deepseek-r1-distill-qwen-32b,language,connections,accuracy,0.2583333333333333
deepseek-r1-distill-qwen-32b,language,plot_unscrambling,score,0.19762788163758824
deepseek-r1-distill-qwen-32b,language,typos,accuracy,0.41
deepseek-r1-local,coding,LCB_generation,pass@1,0.8787878787878788
deepseek-r1-local,language,plot_unscrambling,score,0.4653645709471665
deepseek-r1-local-2,coding,LCB_generation,pass@1,0.8461538461538461
deepseek-r1-local-2,coding,coding_completion,pass@1,0.5
deepseek-r1-local-2,instruction_following,paraphrase,combined_score,0.8571666666666666
deepseek-r1-local-2,language,connections,accuracy,0.6866666666666668
deepseek-r1-local-2,language,plot_unscrambling,score,0.43114052619693144
deepseek-r1-local-2,language,typos,accuracy,0.38
deepseek-v3,coding,LCB_generation,pass@1,0.6153846153846154
deepseek-v3,coding,coding_completion,pass@1,0.62
deepseek-v3,instruction_following,paraphrase,combined_score,0.7551666666666667
deepseek-v3,language,connections,accuracy,0.32833333333333337
deepseek-v3,language,plot_unscrambling,score,0.42597467683116647
deepseek-v3,language,typos,accuracy,0.57
deepseek-v3-0324,coding,LCB_generation,pass@1,0.717948717948718
deepseek-v3-0324,coding,coding_completion,pass@1,0.7
deepseek-v3-0324,instruction_following,paraphrase,combined_score,0.8678333333333333
deepseek-v3-0324,language,connections,accuracy,0.44166666666666665
deepseek-v3-0324,language,plot_unscrambling,score,0.45296632704509415
deepseek-v3-0324,language,typos,accuracy,0.54
dracarys2-72b-instruct,coding,LCB_generation,pass@1,0.5384615384615384
dracarys2-72b-instruct,coding,coding_completion,pass@1,0.64
dracarys2-72b-instruct,instruction_following,paraphrase,combined_score,0.636
dracarys2-72b-instruct,language,connections,accuracy,0.28
dracarys2-72b-instruct,language,plot_unscrambling,score,0.325335636838787
dracarys2-72b-instruct,language,typos,accuracy,0.4
dracarys2-llama-3.1-70b-instruct,coding,LCB_generation,pass@1,0.34615384615384615
dracarys2-llama-3.1-70b-instruct,coding,coding_completion,pass@1,0.38
dracarys2-llama-3.1-70b-instruct,instruction_following,paraphrase,combined_score,0.6671666666666667
dracarys2-llama-3.1-70b-instruct,language,connections,accuracy,0.3016666666666667
dracarys2-llama-3.1-70b-instruct,language,plot_unscrambling,score,0.3726038436253087
dracarys2-llama-3.1-70b-instruct,language,typos,accuracy,0.54
gemini-1.5-flash-001,coding,LCB_generation,pass@1,0.34615384615384615
gemini-1.5-flash-001,coding,coding_completion,pass@1,0.34
gemini-1.5-flash-001,instruction_following,paraphrase,combined_score,0.5446666666666666
gemini-1.5-flash-001,instruction_following,story_generation,combined_score,0.7275641025641026
gemini-1.5-flash-001,language,connections,accuracy,0.18
gemini-1.5-flash-001,language,plot_unscrambling,score,0.2979972868985392
gemini-1.5-flash-001,language,typos,accuracy,0.46
gemini-1.5-flash-002,coding,LCB_generation,pass@1,0.3974358974358974
gemini-1.5-flash-002,coding,coding_completion,pass@1,0.44
gemini-1.5-flash-002,instruction_following,paraphrase,combined_score,0.8065000000000001
gemini-1.5-flash-002,instruction_following,story_generation,combined_score,0.8685897435897435
gemini-1.5-flash-002,language,connections,accuracy,0.2625
gemini-1.5-flash-002,language,plot_unscrambling,score,0.31934967828080935
gemini-1.5-flash-002,language,typos,accuracy,0.28
gemini-1.5-flash-8b-001,language,connections,accuracy,0.11833333333333332
gemini-1.5-flash-8b-001,language,plot_unscrambling,score,0.18770189936902684
gemini-1.5-flash-8b-001,language,typos,accuracy,0.38
gemini-1.5-flash-8b-exp-0827,coding,LCB_generation,pass@1,0.2948717948717949
gemini-1.5-flash-8b-exp-0827,coding,coding_completion,pass@1,0.28
gemini-1.5-flash-8b-exp-0827,instruction_following,paraphrase,combined_score,0.7356666666666666
gemini-1.5-flash-8b-exp-0827,instruction_following,story_generation,combined_score,0.8012820512820512
gemini-1.5-flash-8b-exp-0827,language,connections,accuracy,0.17916666666666667
gemini-1.5-flash-8b-exp-0827,language,plot_unscrambling,score,0.17061384396714557
gemini-1.5-flash-8b-exp-0827,language,typos,accuracy,0.3
gemini-1.5-flash-8b-exp-0924,coding,LCB_generation,pass@1,0.3333333333333333
gemini-1.5-flash-8b-exp-0924,coding,coding_completion,pass@1,0.24
gemini-1.5-flash-8b-exp-0924,instruction_following,paraphrase,combined_score,0.7343333333333334
gemini-1.5-flash-8b-exp-0924,language,connections,accuracy,0.14833333333333332
gemini-1.5-flash-8b-exp-0924,language,plot_unscrambling,score,0.24556231527160005
gemini-1.5-flash-8b-exp-0924,language,typos,accuracy,0.18
gemini-1.5-flash-exp-0827,coding,LCB_generation,pass@1,0.3670886075949367
gemini-1.5-flash-exp-0827,coding,coding_completion,pass@1,0.44
gemini-1.5-flash-exp-0827,instruction_following,paraphrase,combined_score,0.7361666666666666
gemini-1.5-flash-exp-0827,instruction_following,story_generation,combined_score,0.8637820512820512
gemini-1.5-flash-exp-0827,language,connections,accuracy,0.2833333333333333
gemini-1.5-flash-exp-0827,language,plot_unscrambling,score,0.3462946916068489
gemini-1.5-flash-exp-0827,language,typos,accuracy,0.28
gemini-1.5-pro-001,coding,LCB_generation,pass@1,0.34615384615384615
gemini-1.5-pro-001,coding,coding_completion,pass@1,0.3
gemini-1.5-pro-001,instruction_following,paraphrase,combined_score,0.644
gemini-1.5-pro-001,instruction_following,story_generation,combined_score,0.719551282051282
gemini-1.5-pro-001,language,connections,accuracy,0.22
gemini-1.5-pro-001,language,plot_unscrambling,score,0.3992232945844993
gemini-1.5-pro-001,language,typos,accuracy,0.56
gemini-1.5-pro-002,coding,LCB_generation,pass@1,0.4358974358974359
gemini-1.5-pro-002,coding,coding_completion,pass@1,0.54
gemini-1.5-pro-002,instruction_following,paraphrase,combined_score,0.743
gemini-1.5-pro-002,instruction_following,story_generation,combined_score,0.8012820512820512
gemini-1.5-pro-002,language,connections,accuracy,0.38833333333333336
gemini-1.5-pro-002,language,plot_unscrambling,score,0.4246427390502653
gemini-1.5-pro-002,language,typos,accuracy,0.48
gemini-1.5-pro-exp-0801,coding,LCB_generation,pass@1,0.379746835443038
gemini-1.5-pro-exp-0801,coding,coding_completion,pass@1,0.44
gemini-1.5-pro-exp-0801,instruction_following,story_generation,combined_score,0.782051282051282
gemini-1.5-pro-exp-0801,language,connections,accuracy,0.37
gemini-1.5-pro-exp-0801,language,plot_unscrambling,score,0.4187177444915592
gemini-1.5-pro-exp-0801,language,typos,accuracy,0.62
gemini-1.5-pro-exp-0827,coding,LCB_generation,pass@1,0.35802469135802467
gemini-1.5-pro-exp-0827,coding,coding_completion,pass@1,0.47058823529411764
gemini-1.5-pro-exp-0827,instruction_following,paraphrase,combined_score,0.721
gemini-1.5-pro-exp-0827,instruction_following,story_generation,combined_score,0.7516025641025641
gemini-1.5-pro-exp-0827,language,connections,accuracy,0.3775
gemini-1.5-pro-exp-0827,language,plot_unscrambling,score,0.43438590861563525
gemini-1.5-pro-exp-0827,language,typos,accuracy,0.62
gemini-2.0-flash,language,plot_unscrambling,score,0.38161446374715224
gemini-2.0-flash,language,typos,accuracy,0.66
gemini-2.0-flash-001,coding,LCB_generation,pass@1,0.5384615384615384
gemini-2.0-flash-001,coding,coding_completion,pass@1,0.54
gemini-2.0-flash-001,instruction_following,paraphrase,combined_score,0.8553333333333333
gemini-2.0-flash-001,language,connections,accuracy,0.23
gemini-2.0-flash-001,language,plot_unscrambling,score,0.42115235618406266
gemini-2.0-flash-001,language,typos,accuracy,0.59
gemini-2.0-flash-exp,coding,LCB_generation,pass@1,0.48717948717948717
gemini-2.0-flash-exp,coding,coding_completion,pass@1,0.6
gemini-2.0-flash-exp,instruction_following,paraphrase,combined_score,0.805
gemini-2.0-flash-exp,language,connections,accuracy,0.17666666666666667
gemini-2.0-flash-exp,language,plot_unscrambling,score,0.39394338794006145
gemini-2.0-flash-exp,language,typos,accuracy,0.59
gemini-2.0-flash-lite-001,coding,LCB_generation,pass@1,0.46153846153846156
gemini-2.0-flash-lite-001,coding,coding_completion,pass@1,0.48
gemini-2.0-flash-lite-001,instruction_following,paraphrase,combined_score,0.7845
gemini-2.0-flash-lite-001,language,connections,accuracy,0.25166666666666665
gemini-2.0-flash-lite-001,language,plot_unscrambling,score,0.2864107440697689
gemini-2.0-flash-lite-001,language,typos,accuracy,0.47
gemini-2.0-flash-lite-preview-02-05,coding,LCB_generation,pass@1,0.4358974358974359
gemini-2.0-flash-lite-preview-02-05,coding,coding_completion,pass@1,0.44
gemini-2.0-flash-lite-preview-02-05,instruction_following,paraphrase,combined_score,0.8420000000000001
gemini-2.0-flash-lite-preview-02-05,language,connections,accuracy,0.2333333333333333
gemini-2.0-flash-lite-preview-02-05,language,plot_unscrambling,score,0.2976722509246015
gemini-2.0-flash-lite-preview-02-05,language,typos,accuracy,0.53
gemini-2.0-flash-thinking-exp-01-21,coding,LCB_generation,pass@1,0.5897435897435898
gemini-2.0-flash-thinking-exp-01-21,coding,coding_completion,pass@1,0.48
gemini-2.0-flash-thinking-exp-01-21,instruction_following,paraphrase,combined_score,0.8168333333333334
gemini-2.0-flash-thinking-exp-01-21,language,connections,accuracy,0.48833333333333334
gemini-2.0-flash-thinking-exp-01-21,language,plot_unscrambling,score,0.3967438369877843
gemini-2.0-flash-thinking-exp-01-21,language,typos,accuracy,0.47
gemini-2.0-flash-thinking-exp-1219,coding,LCB_generation,pass@1,0.6025641025641025
gemini-2.0-flash-thinking-exp-1219,coding,coding_completion,pass@1,0.46
gemini-2.0-flash-thinking-exp-1219,instruction_following,paraphrase,combined_score,0.7591666666666668
gemini-2.0-flash-thinking-exp-1219,language,connections,accuracy,0.30166666666666664
gemini-2.0-flash-thinking-exp-1219,language,plot_unscrambling,score,0.3496846852054301
gemini-2.0-flash-thinking-exp-1219,language,typos,accuracy,0.58
gemini-2.0-pro-exp-02-05,coding,LCB_generation,pass@1,0.5897435897435898
gemini-2.0-pro-exp-02-05,coding,coding_completion,pass@1,0.68
gemini-2.0-pro-exp-02-05,instruction_following,paraphrase,combined_score,0.8275
gemini-2.0-pro-exp-02-05,language,connections,accuracy,0.3583333333333333
gemini-2.0-pro-exp-02-05,language,plot_unscrambling,score,0.5079550587358306
gemini-2.0-pro-exp-02-05,language,typos,accuracy,0.59
gemini-2.5-pro-exp-03-25,coding,LCB_generation,pass@1,0.8974358974358975
gemini-2.5-pro-exp-03-25,coding,coding_completion,pass@1,0.82
gemini-2.5-pro-exp-03-25,instruction_following,paraphrase,combined_score,0.8095
gemini-2.5-pro-exp-03-25,language,connections,accuracy,0.8183333333333332
gemini-2.5-pro-exp-03-25,language,plot_unscrambling,score,0.6256089526525194
gemini-2.5-pro-exp-03-25,language,typos,accuracy,0.61
gemini-exp-1114,coding,LCB_generation,pass@1,0.475
gemini-exp-1114,coding,coding_completion,pass@1,0.56
gemini-exp-1114,instruction_following,paraphrase,combined_score,0.8051666666666667
gemini-exp-1114,instruction_following,story_generation,combined_score,0.844551282051282
gemini-exp-1114,language,connections,accuracy,0.38833333333333336
gemini-exp-1114,language,plot_unscrambling,score,0.45148585108010186
gemini-exp-1114,language,typos,accuracy,0.42
gemini-exp-1121,coding,LCB_generation,pass@1,0.475
gemini-exp-1121,coding,coding_completion,pass@1,0.52
gemini-exp-1121,instruction_following,paraphrase,combined_score,0.8095
gemini-exp-1121,instruction_following,story_generation,combined_score,0.9166666666666666
gemini-exp-1121,language,connections,accuracy,0.33166666666666667
gemini-exp-1121,language,plot_unscrambling,score,0.44064895271093707
gemini-exp-1121,language,typos,accuracy,0.46
gemini-exp-1206,coding,LCB_generation,pass@1,0.6282051282051282
gemini-exp-1206,coding,coding_completion,pass@1,0.64
gemini-exp-1206,instruction_following,paraphrase,combined_score,0.8320000000000001
gemini-exp-1206,language,connections,accuracy,0.37666666666666665
gemini-exp-1206,language,plot_unscrambling,score,0.5180834406030956
gemini-exp-1206,language,typos,accuracy,0.67
gemma-1.1-7b-it,coding,LCB_generation,pass@1,0.19230769230769232
gemma-1.1-7b-it,coding,coding_completion,pass@1,0.0
gemma-1.1-7b-it,instruction_following,story_generation,combined_score,0.5336538461538461
gemma-1.1-7b-it,language,connections,accuracy,0.07166666666666667
gemma-1.1-7b-it,language,plot_unscrambling,score,0.12775453085066288
gemma-1.1-7b-it,language,typos,accuracy,0.12
gemma-2-27b-it,coding,LCB_generation,pass@1,0.358974358974359
gemma-2-27b-it,coding,coding_completion,pass@1,0.36
gemma-2-27b-it,instruction_following,paraphrase,combined_score,0.6351666666666667
gemma-2-27b-it,instruction_following,story_generation,combined_score,0.7900641025641026
gemma-2-27b-it,language,connections,accuracy,0.255
gemma-2-27b-it,language,plot_unscrambling,score,0.2802398726627504
gemma-2-27b-it,language,typos,accuracy,0.48
gemma-2-9b-it,coding,LCB_generation,pass@1,0.2692307692307692
gemma-2-9b-it,coding,coding_completion,pass@1,0.18
gemma-2-9b-it,instruction_following,paraphrase,combined_score,0.5206666666666666
gemma-2-9b-it,instruction_following,story_generation,combined_score,0.6538461538461539
gemma-2-9b-it,language,connections,accuracy,0.19833333333333333
gemma-2-9b-it,language,plot_unscrambling,score,0.21926433772579146
gemma-2-9b-it,language,typos,accuracy,0.38
gemma-3-12b-it,language,connections,accuracy,0.26
gemma-3-12b-it,language,plot_unscrambling,score,0.23808968559852894
gemma-3-12b-it,language,typos,accuracy,0.44
gemma-3-27b-it,coding,LCB_generation,pass@1,0.3974358974358974
gemma-3-27b-it,coding,coding_completion,pass@1,0.4
gemma-3-27b-it,instruction_following,paraphrase,combined_score,0.715
gemma-3-27b-it,language,connections,accuracy,0.2733333333333333
gemma-3-27b-it,language,plot_unscrambling,score,0.30311769075763584
gemma-3-27b-it,language,typos,accuracy,0.56
gemma-3-4b-it,language,connections,accuracy,0.10166666666666666
gemma-3-4b-it,language,plot_unscrambling,score,0.11011107999265629
gemma-3-4b-it,language,typos,accuracy,0.24
gpt-3.5-turbo-0125,coding,LCB_generation,pass@1,0.2948717948717949
gpt-3.5-turbo-0125,coding,coding_completion,pass@1,0.26
gpt-3.5-turbo-0125,instruction_following,story_generation,combined_score,0.7451923076923077
gpt-3.5-turbo-0125,language,connections,accuracy,0.13333333333333333
gpt-3.5-turbo-0125,language,plot_unscrambling,score,0.1731582085361157
gpt-3.5-turbo-0125,language,typos,accuracy,0.42
gpt-3.5-turbo-1106,coding,LCB_generation,pass@1,0.2948717948717949
gpt-3.5-turbo-1106,coding,coding_completion,pass@1,0.24
gpt-3.5-turbo-1106,instruction_following,story_generation,combined_score,0.5128205128205129
gpt-3.5-turbo-1106,language,connections,accuracy,0.21833333333333332
gpt-3.5-turbo-1106,language,plot_unscrambling,score,0.20054438071025457
gpt-3.5-turbo-1106,language,typos,accuracy,0.44
gpt-4-0125-preview,coding,LCB_generation,pass@1,0.4358974358974359
gpt-4-0125-preview,coding,coding_completion,pass@1,0.4
gpt-4-0125-preview,instruction_following,paraphrase,combined_score,0.6143333333333333
gpt-4-0125-preview,instruction_following,story_generation,combined_score,0.7099358974358974
gpt-4-0125-preview,language,connections,accuracy,0.36666666666666664
gpt-4-0125-preview,language,plot_unscrambling,score,0.43493181247705603
gpt-4-0125-preview,language,typos,accuracy,0.44
gpt-4-0613,coding,LCB_generation,pass@1,0.34615384615384615
gpt-4-0613,coding,coding_completion,pass@1,0.4
gpt-4-0613,instruction_following,story_generation,combined_score,0.717948717948718
gpt-4-0613,language,connections,accuracy,0.39166666666666666
gpt-4-0613,language,plot_unscrambling,score,0.4553756569790666
gpt-4-0613,language,typos,accuracy,0.64
gpt-4-1106-preview,coding,LCB_generation,pass@1,0.4230769230769231
gpt-4-1106-preview,coding,coding_completion,pass@1,0.52
gpt-4-1106-preview,instruction_following,story_generation,combined_score,0.7708333333333334
gpt-4-1106-preview,language,connections,accuracy,0.39666666666666667
gpt-4-1106-preview,language,plot_unscrambling,score,0.4543341392924818
gpt-4-1106-preview,language,typos,accuracy,0.6
gpt-4-turbo-2024-04-09,coding,LCB_generation,pass@1,0.5
gpt-4-turbo-2024-04-09,coding,coding_completion,pass@1,0.48
gpt-4-turbo-2024-04-09,instruction_following,paraphrase,combined_score,0.6256666666666666
gpt-4-turbo-2024-04-09,instruction_following,story_generation,combined_score,0.7948717948717949
gpt-4-turbo-2024-04-09,language,connections,accuracy,0.42666666666666664
gpt-4-turbo-2024-04-09,language,plot_unscrambling,score,0.39619290506759064
gpt-4-turbo-2024-04-09,language,typos,accuracy,0.52
gpt-4.5-preview-2025-02-27,coding,LCB_generation,pass@1,0.7435897435897436
gpt-4.5-preview-2025-02-27,coding,coding_completion,pass@1,0.76
gpt-4.5-preview-2025-02-27,instruction_following,paraphrase,combined_score,0.7233333333333333
gpt-4.5-preview-2025-02-27,language,connections,accuracy,0.7016666666666667
gpt-4.5-preview-2025-02-27,language,plot_unscrambling,score,0.5080206694608886
gpt-4.5-preview-2025-02-27,language,typos,accuracy,0.68
gpt-4o-2024-05-13,coding,LCB_generation,pass@1,0.5
gpt-4o-2024-05-13,coding,coding_completion,pass@1,0.5
gpt-4o-2024-05-13,instruction_following,paraphrase,combined_score,0.6526666666666666
gpt-4o-2024-05-13,instruction_following,story_generation,combined_score,0.7788461538461539
gpt-4o-2024-05-13,language,connections,accuracy,0.4716666666666666
gpt-4o-2024-05-13,language,plot_unscrambling,score,0.4280623123261367
gpt-4o-2024-05-13,language,typos,accuracy,0.66
gpt-4o-2024-08-06,coding,LCB_generation,pass@1,0.44871794871794873
gpt-4o-2024-08-06,coding,coding_completion,pass@1,0.58
gpt-4o-2024-08-06,instruction_following,paraphrase,combined_score,0.6688333333333334
gpt-4o-2024-08-06,instruction_following,story_generation,combined_score,0.844551282051282
gpt-4o-2024-08-06,language,connections,accuracy,0.47833333333333333
gpt-4o-2024-08-06,language,plot_unscrambling,score,0.4073636099248765
gpt-4o-2024-08-06,language,typos,accuracy,0.61
gpt-4o-2024-11-20,coding,LCB_generation,pass@1,0.46153846153846156
gpt-4o-2024-11-20,coding,coding_completion,pass@1,0.46
gpt-4o-2024-11-20,instruction_following,paraphrase,combined_score,0.6266666666666666
gpt-4o-2024-11-20,instruction_following,story_generation,combined_score,0.844551282051282
gpt-4o-2024-11-20,language,connections,accuracy,0.45083333333333336
gpt-4o-2024-11-20,language,plot_unscrambling,score,0.3896995626015987
gpt-4o-2024-11-20,language,typos,accuracy,0.62
gpt-4o-mini-2024-07-18,coding,LCB_generation,pass@1,0.4230769230769231
gpt-4o-mini-2024-07-18,coding,coding_completion,pass@1,0.44
gpt-4o-mini-2024-07-18,instruction_following,paraphrase,combined_score,0.5735
gpt-4o-mini-2024-07-18,instruction_following,story_generation,combined_score,0.8205128205128205
gpt-4o-mini-2024-07-18,language,connections,accuracy,0.265
gpt-4o-mini-2024-07-18,language,plot_unscrambling,score,0.21001248872911987
gpt-4o-mini-2024-07-18,language,typos,accuracy,0.5
grok-2,coding,LCB_generation,pass@1,0.38461538461538464
grok-2,coding,coding_completion,pass@1,0.34
grok-2,instruction_following,story_generation,combined_score,0.7366666666666667
grok-2,language,connections,accuracy,0.4
grok-2,language,plot_unscrambling,score,0.3250905661079839
grok-2,language,typos,accuracy,0.32
grok-2-1212,coding,LCB_generation,pass@1,0.46153846153846156
grok-2-1212,coding,coding_completion,pass@1,0.48
grok-2-1212,instruction_following,paraphrase,combined_score,0.6785
grok-2-1212,language,connections,accuracy,0.33
grok-2-1212,language,plot_unscrambling,score,0.4054041779897493
grok-2-1212,language,typos,accuracy,0.63
grok-2-mini,coding,LCB_generation,pass@1,0.41025641025641024
grok-2-mini,coding,coding_completion,pass@1,0.34
grok-2-mini,instruction_following,story_generation,combined_score,0.8066666666666668
grok-2-mini,language,connections,accuracy,0.3383333333333334
grok-2-mini,language,plot_unscrambling,score,0.4066714055759363
grok-2-mini,language,typos,accuracy,0.44
grok-3,coding,LCB_generation,pass@1,0.5256410256410257
grok-3,coding,coding_completion,pass@1,0.56
grok-3,language,connections,accuracy,0.5216666666666666
grok-3,language,plot_unscrambling,score,0.49825143977066794
grok-3,language,typos,accuracy,0.52
grok-3-beta,coding,LCB_generation,pass@1,0.5641025641025641
grok-3-beta,coding,coding_completion,pass@1,0.46
grok-3-beta,instruction_following,paraphrase,combined_score,0.7295
grok-3-beta,instruction_following,story_generation,combined_score,0.7883333333333333
grok-3-beta,language,connections,accuracy,0.5941666666666666
grok-3-beta,language,plot_unscrambling,score,0.49571583308548367
grok-3-beta,language,typos,accuracy,0.54
grok-3-mini-reasoning-beta,coding,LCB_generation,pass@1,0.7435897435897436
grok-3-mini-reasoning-beta,coding,coding_completion,pass@1,0.34
grok-3-mini-reasoning-beta,instruction_following,paraphrase,combined_score,0.6236666666666667
grok-3-mini-reasoning-beta,language,connections,accuracy,0.38
grok-3-mini-reasoning-beta,language,plot_unscrambling,score,0.41271645035255833
grok-3-mini-reasoning-beta,language,typos,accuracy,0.34
grok-beta,coding,LCB_generation,pass@1,0.4230769230769231
grok-beta,coding,coding_completion,pass@1,0.48
grok-beta,instruction_following,paraphrase,combined_score,0.7046666666666667
grok-beta,language,connections,accuracy,0.355
grok-beta,language,plot_unscrambling,score,0.37815623473530646
grok-beta,language,typos,accuracy,0.61
hermes-3-llama-3.1-70b,coding,LCB_generation,pass@1,0.3076923076923077
hermes-3-llama-3.1-70b,coding,coding_completion,pass@1,0.32
hermes-3-llama-3.1-70b,instruction_following,story_generation,combined_score,0.515
hermes-3-llama-3.1-70b,language,connections,accuracy,0.32
hermes-3-llama-3.1-70b,language,plot_unscrambling,score,0.37316888118215863
hermes-3-llama-3.1-70b,language,typos,accuracy,0.62
hunyuan-turbos-20250313,coding,LCB_generation,pass@1,0.5512820512820513
hunyuan-turbos-20250313,coding,coding_completion,pass@1,0.38
hunyuan-turbos-20250313,instruction_following,paraphrase,combined_score,0.8320000000000001
hunyuan-turbos-20250313,language,connections,accuracy,0.18
hunyuan-turbos-20250313,language,plot_unscrambling,score,0.2837572118042098
hunyuan-turbos-20250313,language,typos,accuracy,0.8
lcb-math-qwen2-72b-instructv3-merged-50,coding,LCB_generation,pass@1,0.358974358974359
lcb-math-qwen2-72b-instructv3-merged-50,coding,coding_completion,pass@1,0.42
lcb-math-qwen2-72b-instructv3-merged-50,instruction_following,story_generation,combined_score,0.8516666666666667
lcb-math-qwen2-72b-instructv3-merged-50,language,connections,accuracy,0.31
lcb-math-qwen2-72b-instructv3-merged-50,language,plot_unscrambling,score,0.3250697475225907
lcb-math-qwen2-72b-instructv3-merged-50,language,typos,accuracy,0.3
learnlm-1.5-pro-experimental,coding,LCB_generation,pass@1,0.3974358974358974
learnlm-1.5-pro-experimental,coding,coding_completion,pass@1,0.54
learnlm-1.5-pro-experimental,instruction_following,paraphrase,combined_score,0.703
learnlm-1.5-pro-experimental,language,connections,accuracy,0.335
learnlm-1.5-pro-experimental,language,plot_unscrambling,score,0.40028724756303197
learnlm-1.5-pro-experimental,language,typos,accuracy,0.46
llama-2-7b-chat-hf,coding,LCB_generation,pass@1,0.0
llama-3.1-nemotron-70b-instruct,coding,LCB_generation,pass@1,0.3333333333333333
llama-3.1-nemotron-70b-instruct,coding,coding_completion,pass@1,0.32
llama-3.1-nemotron-70b-instruct,instruction_following,story_generation,combined_score,0.6966666666666668
llama-3.1-nemotron-70b-instruct,language,connections,accuracy,0.3066666666666667
llama-3.1-nemotron-70b-instruct,language,plot_unscrambling,score,0.3874821756981525
llama-3.1-nemotron-70b-instruct,language,typos,accuracy,0.34
llama-3.3-70b-instruct-turbo,coding,LCB_generation,pass@1,0.3717948717948718
llama-3.3-70b-instruct-turbo,coding,coding_completion,pass@1,0.36
llama-3.3-70b-instruct-turbo,instruction_following,paraphrase,combined_score,0.782
llama-3.3-70b-instruct-turbo,language,connections,accuracy,0.36666666666666664
llama-3.3-70b-instruct-turbo,language,plot_unscrambling,score,0.37761373283432786
llama-3.3-70b-instruct-turbo,language,typos,accuracy,0.5
llama-4-maverick-17b-128e-instruct,coding,LCB_generation,pass@1,0.5128205128205128
